path,label
dataset/mouth\yawn\aug_0_0.jpg,yawn
dataset/mouth\yawn\aug_0_1.jpg,yawn
dataset/mouth\yawn\aug_0_10.jpg,yawn
dataset/mouth\yawn\aug_0_100.jpg,yawn
dataset/mouth\yawn\aug_0_1000.jpg,yawn
dataset/mouth\yawn\aug_0_1001.jpg,yawn
dataset/mouth\yawn\aug_0_1002.jpg,yawn
dataset/mouth\yawn\aug_0_1003.jpg,yawn
dataset/mouth\yawn\aug_0_1005.jpg,yawn
dataset/mouth\yawn\aug_0_1006.jpg,yawn
dataset/mouth\yawn\aug_0_1008.jpg,yawn
dataset/mouth\yawn\aug_0_1009.jpg,yawn
dataset/mouth\yawn\aug_0_101.jpg,yawn
dataset/mouth\yawn\aug_0_1010.jpg,yawn
dataset/mouth\yawn\aug_0_1011.jpg,yawn
dataset/mouth\yawn\aug_0_1012.jpg,yawn
dataset/mouth\yawn\aug_0_1013.jpg,yawn
dataset/mouth\yawn\aug_0_1014.jpg,yawn
dataset/mouth\yawn\aug_0_1017.jpg,yawn
dataset/mouth\yawn\aug_0_1018.jpg,yawn
dataset/mouth\yawn\aug_0_102.jpg,yawn
dataset/mouth\yawn\aug_0_1020.jpg,yawn
dataset/mouth\yawn\aug_0_1021.jpg,yawn
dataset/mouth\yawn\aug_0_1022.jpg,yawn
dataset/mouth\yawn\aug_0_1023.jpg,yawn
dataset/mouth\yawn\aug_0_1024.jpg,yawn
dataset/mouth\yawn\aug_0_1025.jpg,yawn
dataset/mouth\yawn\aug_0_1026.jpg,yawn
dataset/mouth\yawn\aug_0_1027.jpg,yawn
dataset/mouth\yawn\aug_0_1028.jpg,yawn
dataset/mouth\yawn\aug_0_1029.jpg,yawn
dataset/mouth\yawn\aug_0_103.jpg,yawn
dataset/mouth\yawn\aug_0_1031.jpg,yawn
dataset/mouth\yawn\aug_0_1032.jpg,yawn
dataset/mouth\yawn\aug_0_1033.jpg,yawn
dataset/mouth\yawn\aug_0_1034.jpg,yawn
dataset/mouth\yawn\aug_0_1035.jpg,yawn
dataset/mouth\yawn\aug_0_1036.jpg,yawn
dataset/mouth\yawn\aug_0_1039.jpg,yawn
dataset/mouth\yawn\aug_0_104.jpg,yawn
